epoch,accuracy,loss,val_accuracy,val_loss
0,0.36091890931129456,1.3254188299179077,0.44668588042259216,1.2759244441986084
1,0.6310545206069946,0.9854620695114136,0.639769434928894,0.9561370015144348
2,0.7907556295394897,0.5947036743164062,0.7175792455673218,0.7852305769920349
3,0.8405756950378418,0.4266573190689087,0.7031700015068054,0.7721627950668335
4,0.8820924162864685,0.32848724722862244,0.7060518860816956,0.8086544275283813
5,0.9028508067131042,0.276573121547699,0.6858789920806885,0.8435800075531006
6,0.9225021004676819,0.23280248045921326,0.6887608170509338,0.8786136507987976
7,0.9377248883247375,0.1907939910888672,0.6945244669914246,0.9184093475341797
8,0.94768887758255,0.1618739366531372,0.6743515729904175,0.9809495806694031
9,0.9570993781089783,0.14143379032611847,0.680115282535553,1.0210227966308594
10,0.9620813727378845,0.1331264078617096,0.6685879230499268,1.070963978767395
11,0.9703847169876099,0.10996141284704208,0.6829971075057983,1.1339497566223145
12,0.9712150692939758,0.10731147229671478,0.6570605039596558,1.119972586631775
13,0.9723221659660339,0.09374402463436127,0.6772334575653076,1.176095962524414
14,0.9706615209579468,0.09368035197257996,0.6714697480201721,1.1756221055984497
15,0.9739828109741211,0.08752479404211044,0.680115282535553,1.2133550643920898
16,0.976473867893219,0.07625476270914078,0.651296854019165,1.3842285871505737
17,0.9725989699363708,0.08824558556079865,0.6657060384750366,1.3112804889678955
18,0.975643515586853,0.07537529617547989,0.6916426420211792,1.284543514251709
19,0.9775809645652771,0.07546143978834152,0.6829971075057983,1.3031400442123413
20,0.9775809645652771,0.06861235201358795,0.6628242135047913,1.311746597290039
21,0.9778577089309692,0.06729165464639664,0.680115282535553,1.3382365703582764
22,0.9778577089309692,0.06716947257518768,0.6887608170509338,1.41829514503479
23,0.9775809645652771,0.06582412868738174,0.6657060384750366,1.4956824779510498
24,0.9781345129013062,0.05820539593696594,0.6685879230499268,1.4133751392364502
